date,open,high,low,close,volume,code
2010-07-23,92.84,93.17,91.3,91.42,34811,edv
2010-07-23,23.44,23.5,23.18,23.22,2789664,iau
2010-07-23,50.48,50.96,50.48,50.9,989,emlc
2010-07-23,31.96,32.4,31.89,32.39,2056714,vea
2010-07-23,41.24,41.67,41.01,41.65,12109709,vwo
2010-07-23,55.64,56.33,55.43,56.26,1483170,vti
2010-07-23,78.87,79.04,78.4,78.68,3828,vclt
2010-07-23,22.45,22.53,22.37,22.44,922262,dbc
2010-07-23,53.33,53.4,52.88,52.88,1370,ltpz
2010-07-26,78.25,78.51,78.04,78.51,9869,vclt
2010-07-26,23.3,23.32,23.08,23.12,3029339,iau
2010-07-26,91.37,91.41,90.14,90.87,21562,edv
2010-07-26,41.58,41.94,41.42,41.91,9211271,vwo
2010-07-26,51.32,51.9,51.32,51.8,20115,emlc
2010-07-26,56.46,57.01,56.25,56.95,1348356,vti
2010-07-26,52.82,52.91,52.8,52.8,2394,ltpz
2010-07-26,32.21,32.64,32.16,32.64,931823,vea
2010-07-26,22.44,22.5,22.36,22.42,913355,dbc
2010-07-27,52.46,52.46,51.72,51.86,766936,emlc
2010-07-27,90.11,90.17,89.35,89.81,52161,edv
2010-07-27,32.86,32.86,32.49,32.74,879665,vea
2010-07-27,52.97,52.99,52.88,52.88,900,ltpz
2010-07-27,23.0,23.02,22.66,22.74,6377345,iau
2010-07-27,22.49,22.53,22.05,22.18,1219166,dbc
2010-07-27,57.37,57.38,56.69,56.88,2083199,vti
2010-07-27,42.15,42.16,41.62,41.81,9774792,vwo
2010-07-27,78.51,78.75,78.4,78.61,11589,vclt
2010-07-28,22.24,22.34,22.11,22.27,1408141,dbc
2010-07-28,32.66,32.73,32.46,32.53,649343,vea
2010-07-28,22.7,22.8,22.64,22.78,1968277,iau
2010-07-28,89.0,89.86,88.62,89.83,12147,edv
2010-07-28,56.79,56.96,56.28,56.48,1486416,vti
2010-07-28,51.92,51.94,51.55,51.74,220816,emlc
2010-07-28,79.09,79.09,78.52,79.01,10182,vclt
2010-07-28,52.87,53.17,52.87,53.15,1800,ltpz
2010-07-28,41.61,41.81,41.44,41.61,9538612,vwo
2010-07-29,22.52,22.68,22.43,22.59,839658,dbc
2010-07-29,51.12,51.78,51.12,51.58,66995,emlc
2010-07-29,32.98,33.14,32.42,32.68,757193,vea
2010-07-29,56.88,56.97,55.68,56.19,1108092,vti
2010-07-29,79.25,79.32,78.45,79.04,9022,vclt
2010-07-29,22.74,22.9,22.7,22.86,1442988,iau
2010-07-29,42.05,42.11,41.38,41.73,9199688,vwo
2010-07-29,53.0,53.13,53.0,53.11,7450,ltpz
2010-07-29,88.6,89.8,88.34,89.71,23512,edv
2010-07-30,32.3,32.8,32.29,32.65,1200676,vea
2010-07-30,22.49,22.92,22.45,22.89,1062603,dbc
2010-07-30,55.66,56.49,55.46,56.25,1539968,vti
2010-07-30,22.9,23.16,22.84,23.12,1782323,iau
