Date,Open,High,Low,Close,Volume
2010. 7. 23,22.45,22.53,22.37,22.44,922262
2010. 7. 26,22.44,22.5,22.36,22.42,913355
2010. 7. 27,22.49,22.53,22.05,22.18,1219166
2010. 7. 28,22.24,22.34,22.11,22.27,1408141
2010. 7. 29,22.52,22.68,22.43,22.59,839658
2010. 7. 30,22.49,22.92,22.45,22.89,1062603
2010. 8. 2,23.33,23.48,23.3,23.33,1583306
2010. 8. 3,23.39,23.47,23.29,23.41,1362650
2010. 8. 4,23.56,23.69,23.47,23.61,2179575
2010. 8. 5,23.66,23.72,23.5,23.5,1210248
2010. 8. 6,23.39,23.59,23.15,23.29,1406379
2010. 8. 9,23.35,23.44,23.28,23.37,670599
2010. 8. 10,22.97,23.22,22.9,23.12,2217876
2010. 8. 11,22.88,22.89,22.58,22.6,1301319
2010. 8. 12,22.49,22.66,22.39,22.43,11204042
2010. 8. 13,22.47,22.5,22.34,22.41,1819832
2010. 8. 16,22.4,22.48,22.31,22.34,957837
2010. 8. 17,22.57,22.76,22.54,22.66,1493506
2010. 8. 18,22.46,22.66,22.33,22.57,952249
2010. 8. 19,22.61,22.61,22.29,22.34,1005857
2010. 8. 20,22.21,22.24,22.11,22.2,1032359
2010. 8. 23,22.15,22.29,22,22.05,873353
2010. 8. 24,21.82,21.91,21.75,21.8,2209811
2010. 8. 25,21.72,21.91,21.63,21.91,1158700
2010. 8. 26,22.1,22.28,22.08,22.16,1225096
2010. 8. 27,22.25,22.58,22.07,22.54,1141972
2010. 8. 30,22.54,22.65,22.49,22.5,890563
2010. 8. 31,22.52,22.6,22.17,22.2,1091487
2010. 9. 1,22.5,22.71,22.5,22.64,1217313
2010. 9. 2,22.58,22.84,22.55,22.8,1633821
2010. 9. 3,22.89,22.97,22.65,22.92,963605
2010. 9. 7,22.86,23.18,22.77,23.04,988922
2010. 9. 8,23.07,23.24,23.07,23.09,951705
2010. 9. 9,23.15,23.19,22.94,22.96,1149750
2010. 9. 10,22.99,23.2,22.97,23.2,1201617
2010. 9. 13,23.36,23.43,23.29,23.37,1315192
2010. 9. 14,23.31,23.57,23.31,23.44,1438464
2010. 9. 15,23.35,23.44,23.31,23.4,1277913
2010. 9. 16,23.44,23.49,23.18,23.28,844283
2010. 9. 17,23.45,23.49,23.2,23.36,1236221
2010. 9. 20,23.46,23.69,23.46,23.55,1107430
2010. 9. 21,23.52,23.54,23.29,23.3,1400230
2010. 9. 22,23.5,23.54,23.31,23.44,1051904
2010. 9. 23,23.29,23.56,23.28,23.46,1070741
2010. 9. 24,23.59,23.86,23.59,23.82,1266221
2010. 9. 27,23.81,23.85,23.53,23.66,959818
2010. 9. 28,23.65,23.86,23.58,23.66,1621018
2010. 9. 29,23.55,23.99,23.48,23.97,1137552
2010. 9. 30,24.04,24.12,23.78,24.11,2265868
2010. 10. 1,24.28,24.38,24.08,24.16,3049301
2010. 10. 4,24.14,24.2,24.03,24.08,1412716
2010. 10. 5,24.29,24.58,24.25,24.57,2483149
2010. 10. 6,24.57,24.73,24.52,24.6,7132871
2010. 10. 7,24.79,24.79,24.27,24.33,2212775
2010. 10. 8,24.63,25.15,24.56,25.14,4032717
2010. 10. 11,25.11,25.26,25,25.02,1333391
2010. 10. 12,25.02,25.22,24.86,25.14,2043199
2010. 10. 13,25.29,25.4,25.23,25.26,1886543
2010. 10. 14,25.28,25.47,25.18,25.22,1565213
2010. 10. 15,25.24,25.28,24.89,24.94,1094027
2010. 10. 18,25.02,25.24,24.96,25.19,1174763
2010. 10. 19,24.68,24.87,24.42,24.45,1722296
2010. 10. 20,24.61,25.08,24.61,25.03,2076081
2010. 10. 21,25.08,25.18,24.62,24.72,1836533
2010. 10. 22,24.85,24.93,24.73,24.93,1074748
2010. 10. 25,25.19,25.26,24.91,25.06,1365045
2010. 10. 26,24.98,25.21,24.97,25.19,1769253
2010. 10. 27,24.98,25.13,24.8,25.11,1376889
2010. 10. 28,25.3,25.32,25.13,25.24,1776265
2010. 10. 29,25.14,25.23,25.02,25.18,1606025
2010. 11. 1,25.63,25.64,25.29,25.34,1940140
2010. 11. 2,25.61,25.61,25.49,25.57,1919911
2010. 11. 3,25.62,25.75,25.35,25.69,2448178
2010. 11. 4,26.15,26.34,26.07,26.3,2715006
2010. 11. 5,26.27,26.41,26.17,26.41,2701189
2010. 11. 8,26.31,26.49,26.23,26.48,1792740
2010. 11. 9,26.73,26.92,26.26,26.3,3435740
2010. 11. 10,26.55,26.66,26.33,26.58,1735436
2010. 11. 11,26.58,26.58,26.33,26.36,1847318
2010. 11. 12,25.92,25.98,25.23,25.26,1832918
2010. 11. 15,25.46,25.52,25.3,25.3,2162557
2010. 11. 16,25.06,25.07,24.51,24.55,3073350
2010. 11. 17,24.56,24.75,24.33,24.36,2566525
2010. 11. 18,24.9,25.02,24.76,25.02,2002430
2010. 11. 19,24.78,24.84,24.58,24.66,3559363
2010. 11. 22,24.62,24.76,24.43,24.74,2719070
2010. 11. 23,24.48,24.74,24.37,24.68,1450165
2010. 11. 24,24.74,25.15,24.74,25.14,1642996
2010. 11. 26,24.97,25.26,24.95,25.26,659812
2010. 11. 29,25.2,25.33,25,25.31,1593938
2010. 11. 30,25.13,25.28,25.03,25.07,1606068
2010. 12. 1,25.5,25.83,25.49,25.81,2078362
2010. 12. 2,25.77,26.05,25.77,26.03,2401350
2010. 12. 3,26.07,26.42,26.06,26.36,2571634
2010. 12. 6,26.31,26.38,26.19,26.33,1868818
2010. 12. 7,26.7,26.72,26.13,26.15,1710856
2010. 12. 8,26.26,26.39,26.03,26.35,1691291
2010. 12. 9,26.37,26.41,26.2,26.28,2534948
2010. 12. 10,26.29,26.29,26.05,26.24,1439710
2010. 12. 13,26.56,26.62,26.41,26.5,1330856
2010. 12. 14,26.48,26.6,26.38,26.43,1226407
2010. 12. 15,26.31,26.6,26.29,26.36,1304442
2010. 12. 16,26.39,26.39,26.2,26.27,1587042
2010. 12. 17,26.36,26.55,26.34,26.47,1321199
2010. 12. 20,26.61,26.78,26.43,26.71,2017386
2010. 12. 21,26.81,26.94,26.77,26.88,2422106
2010. 12. 22,26.93,27.05,26.88,27.02,1361893
2010. 12. 23,26.97,27.15,26.93,27.12,1367129
2010. 12. 27,27.04,27.14,26.96,27.07,1534520
2010. 12. 28,27.29,27.39,27.2,27.36,1147974
2010. 12. 29,27.36,27.4,27.32,27.37,1789003
2010. 12. 30,27.26,27.31,26.92,27.04,1612277
2010. 12. 31,27.15,27.67,27.11,27.55,991088
