Date,Open,High,Low,Close,Volume
2010. 7. 23,92.84,93.17,91.3,91.42,34811
2010. 7. 26,91.37,91.41,90.14,90.87,21562
2010. 7. 27,90.11,90.17,89.35,89.81,52161
2010. 7. 28,89,89.86,88.62,89.83,12147
2010. 7. 29,88.6,89.8,88.34,89.71,23512
2010. 7. 30,91.13,92.01,90.88,92.01,18384
2010. 8. 2,94.32,94.32,89.57,90.02,49348
2010. 8. 3,90,90.92,89.8,90.1,21470
2010. 8. 4,90.66,90.66,89.25,89.25,44426
2010. 8. 5,90,90.49,89.56,89.56,39918
2010. 8. 6,90.48,91.16,90,91.02,24432
2010. 8. 9,90.66,90.91,90.5,90.71,26228
2010. 8. 10,91.33,92.22,90.3,90.75,29912
2010. 8. 11,90.96,92.61,90.95,92.6,84155
2010. 8. 12,92.61,93.54,92,92.28,67078
2010. 8. 13,93.22,94.29,93.05,93.99,53625
2010. 8. 16,96.83,98.29,96.79,98.1,60325
2010. 8. 17,98.4,98.4,97.04,97.28,107375
2010. 8. 18,98.57,99.55,98.03,98.06,28335
2010. 8. 19,98.67,101.49,97.96,100.48,53785
2010. 8. 20,100.91,102.4,100.06,100.57,49298
2010. 8. 23,100.18,100.77,99.22,100.29,48659
2010. 8. 24,102.07,103.53,101.4,103.37,49015
2010. 8. 25,104.38,105.32,101.52,102.26,115240
2010. 8. 26,102.59,104.2,102.59,104.16,78610
2010. 8. 27,103.56,104.28,99.44,99.86,83360
2010. 8. 30,100.61,102.75,100.42,102.75,40403
2010. 8. 31,103.77,104.15,102.74,103.86,28659
2010. 9. 1,102.18,102.57,99.95,100.7,60048
2010. 9. 2,99.76,99.77,98.11,98.81,102333
2010. 9. 3,95.86,97.6,94.56,97.51,102059
2010. 9. 7,99,100.2,99,99.99,33499
2010. 9. 8,99.7,99.7,98.31,99.3,10849
2010. 9. 9,97.01,97.82,95.58,96,141391
2010. 9. 10,95.19,95.73,94.11,95.29,88900
2010. 9. 13,94.42,96.12,94,95.28,17125
2010. 9. 14,96.2,97.27,95.93,97.27,18753
2010. 9. 15,95.5,96.1,94.65,94.76,12494
