Date,Open,High,Low,Close,Volume
2010. 7. 23,50.48,50.96,50.48,50.9,989
2010. 7. 26,51.32,51.9,51.32,51.8,20115
2010. 7. 27,52.46,52.46,51.72,51.86,766936
2010. 7. 28,51.92,51.94,51.55,51.74,220816
2010. 7. 29,51.12,51.78,51.12,51.58,66995
2010. 7. 30,51.62,51.66,51.48,51.62,75668
2010. 8. 2,51.68,51.8,51.58,51.62,150467
2010. 8. 3,51.88,51.88,51.7,51.8,53793
2010. 8. 4,51.88,51.88,51.77,51.8,82793
2010. 8. 5,52,52,51.76,51.84,99376
2010. 8. 6,52.04,52.04,51.86,52,48279
2010. 8. 9,52.26,52.26,52.06,52.22,227434
2010. 8. 10,52.2,52.2,52.1,52.18,50900
2010. 8. 11,51.9,51.92,51.52,51.52,88435
2010. 8. 12,51.46,51.8,51.16,51.16,18195
2010. 8. 13,51.56,51.7,51.3,51.36,24580
2010. 8. 16,51.6,51.62,51.44,51.5,24287
2010. 8. 17,51.84,52,51.84,52,19816
2010. 8. 18,52.12,52.12,52.02,52.08,14214
2010. 8. 19,52.12,52.3,51.96,52.02,9989
2010. 8. 20,51.88,51.98,51.78,51.98,26498
2010. 8. 23,52.04,52.16,51.7,51.84,47755
2010. 8. 24,51.7,51.94,51.68,51.93,97720
2010. 8. 25,51.84,51.88,51.74,51.88,102800
2010. 8. 26,52.06,52.14,51.98,52,214314
2010. 8. 27,51.96,52.08,51.8,52.04,36172
2010. 8. 30,51.92,52.08,51.84,51.86,22766
2010. 8. 31,51.9,51.9,51.54,51.56,104389
2010. 9. 1,51.96,52.06,51.72,51.94,14046
2010. 9. 2,51.88,52,51.88,51.96,43172
2010. 9. 3,52.02,52.22,52.01,52.22,28713
2010. 9. 7,52.08,52.26,52.07,52.1,43641
2010. 9. 8,52.16,52.16,51.72,51.74,35357
2010. 9. 9,52.16,52.2,52,52.06,17504
2010. 9. 10,52.2,52.28,52,52.28,21509
2010. 9. 13,52.36,52.64,52.33,52.62,14180
2010. 9. 14,52.6,53,52.48,52.98,20652
2010. 9. 15,52.84,52.98,52.76,52.76,50550
2010. 9. 16,52.88,52.88,52.68,52.76,56611
2010. 9. 17,52.78,52.84,52.7,52.76,22428
2010. 9. 20,52.86,53,52.78,52.98,74132
2010. 9. 21,53.06,53.2,52.98,53.2,90101
2010. 9. 22,53.36,53.74,53.24,53.64,643233
2010. 9. 23,53.4,53.46,53.32,53.38,52877
2010. 9. 24,53.6,53.66,53.5,53.6,42187
2010. 9. 27,53.94,53.94,53.7,53.72,103623
2010. 9. 28,53.86,53.96,53.7,53.94,29396
2010. 9. 29,54.12,54.12,53.92,53.98,56816
2010. 9. 30,54.08,54.16,53.92,54.06,56385
2010. 10. 1,54.54,54.54,54.2,54.28,157827
2010. 10. 4,54.48,54.48,54.12,54.16,106482
2010. 10. 5,54.5,54.68,54.38,54.68,99523
2010. 10. 6,54.94,55.2,53.58,55.02,153317
2010. 10. 7,55.18,55.18,54.84,54.96,64673
2010. 10. 8,54.9,55.18,54.89,55.1,44021
2010. 10. 11,54.6,55.02,54.6,54.9,51188
2010. 10. 12,54.9,55.1,54.82,55.04,94383
2010. 10. 13,55.28,55.44,55.14,55.42,62017
2010. 10. 14,55.62,55.7,55.44,55.62,73024
2010. 10. 15,55.5,55.58,55.3,55.33,82077
2010. 10. 18,55.2,55.32,55.1,55.26,54753
2010. 10. 19,55.2,55.2,54.82,54.98,79700
2010. 10. 20,55.08,55.08,54.98,54.98,59196
2010. 10. 21,55.3,55.3,54.4,54.72,238660
2010. 10. 22,54.48,54.7,54.48,54.66,23885
2010. 10. 25,55.3,55.32,55,55.2,113753
2010. 10. 26,54.86,55,54.8,54.82,58573
2010. 10. 27,54.62,54.72,54.32,54.38,51651
2010. 10. 28,54.7,54.74,54.42,54.64,53890
2010. 10. 29,54.78,54.86,54.68,54.74,79864
2010. 11. 1,54.7,54.7,54.52,54.7,158559
2010. 11. 2,55,55,54.78,54.9,65946
2010. 11. 3,55.32,55.44,55.02,55.34,98113
2010. 11. 4,55.76,56.02,55.5,55.92,103447
2010. 11. 5,55.8,55.8,55.5,55.66,49790
2010. 11. 8,55.38,55.42,55.2,55.3,105125
2010. 11. 9,55.52,55.52,55.02,55.02,92055
2010. 11. 10,55.18,55.18,54.76,54.9,50684
2010. 11. 11,54.98,54.98,54.66,54.69,93511
2010. 11. 12,54.46,54.8,54.3,54.44,60073
2010. 11. 15,54.14,54.32,53.06,53.26,176182
2010. 11. 16,52.86,53.02,52.34,52.88,160766
2010. 11. 17,52.98,53.46,52.97,53.44,54232
2010. 11. 18,53.82,53.9,53.44,53.82,93434
2010. 11. 19,53.96,54.16,53.9,54.12,28762
2010. 11. 22,54.12,54.14,53.9,54.02,22867
2010. 11. 23,53.56,53.56,53.14,53.16,80024
2010. 11. 24,53.22,53.42,53.21,53.28,44208
2010. 11. 26,53.2,53.2,52.3,52.3,42052
2010. 11. 29,52.2,52.3,52,52.15,95964
2010. 11. 30,52.16,52.32,52,52.3,65482
2010. 12. 1,52.42,52.48,52.32,52.43,68811
2010. 12. 2,52.46,52.88,52.46,52.88,33148
2010. 12. 3,53,53.21,52.92,53.1,35401
2010. 12. 6,52.94,53.06,52.52,53.02,43446
2010. 12. 7,53.32,53.32,53,53.1,63373
2010. 12. 8,53.04,53.04,52.66,52.86,30892
2010. 12. 9,52.92,52.94,52.6,52.66,43403
2010. 12. 10,52.78,52.94,52.54,52.9,65694
2010. 12. 13,52.94,53.04,52.8,52.89,273917
2010. 12. 14,53.1,53.2,52.7,52.74,85822
2010. 12. 15,52.68,52.68,52.4,52.4,42283
2010. 12. 16,52.64,52.64,52,52.08,74108
2010. 12. 17,52.34,52.4,52.14,52.26,24549
2010. 12. 20,52.22,52.32,52.04,52.18,47186
2010. 12. 21,52.46,52.5,52.2,52.42,1840108
2010. 12. 22,52.56,52.72,52.45,52.66,141260
2010. 12. 23,52.64,52.84,52.58,52.81,132407
2010. 12. 27,52.68,52.68,52.5,52.56,24067
2010. 12. 28,52.82,52.86,52.48,52.64,51085
2010. 12. 29,53.18,53.2,52.52,52.82,80038
2010. 12. 30,53.26,53.26,53.03,53.09,95570
2010. 12. 31,53.34,53.54,52.79,53.32,32977
2011. 1. 3,53.16,53.44,53.14,53.14,164230
2011. 1. 4,53.4,53.54,53.16,53.3,202470
2011. 1. 5,53.24,53.24,52.96,53.08,65719
2011. 1. 6,52.88,53.26,52.86,52.96,2316061
2011. 1. 7,53.02,53.04,52.9,52.98,544916
2011. 1. 10,52.64,52.64,52.32,52.44,74419
2011. 1. 11,52.52,52.72,52.42,52.72,159599
2011. 1. 12,52.82,53,52.78,53,117136
2011. 1. 13,53.06,53.08,52.8,52.84,102793
2011. 1. 14,52.76,52.96,52.76,52.94,42615
2011. 1. 18,53.1,53.12,52.82,52.88,49163
2011. 1. 19,53.04,53.08,52.76,52.8,39039
2011. 1. 20,52.6,52.63,52.42,52.6,48138
2011. 1. 21,52.44,52.64,52.44,52.52,61390
2011. 1. 24,52.46,52.76,52.46,52.74,73479
2011. 1. 25,52.6,52.72,52.57,52.57,375828
2011. 1. 26,52.34,52.72,52.34,52.6,189946
2011. 1. 27,52.9,52.92,52.74,52.88,359325
2011. 1. 28,52.74,52.74,52.3,52.5,68739
2011. 1. 31,52.58,52.58,52.18,52.36,86030
2011. 2. 1,52.66,52.66,52.16,52.32,112632
2011. 2. 2,52.22,52.56,52.18,52.32,99296
2011. 2. 3,52.28,52.34,52.1,52.11,48099
2011. 2. 4,52.1,52.3,51.94,52.24,60628
2011. 2. 7,52.06,52.22,51.7,51.8,93587
2011. 2. 8,51.84,52.14,51.76,52,184041
2011. 2. 9,52.46,52.46,51.86,52.02,94385
2011. 2. 10,52.12,52.12,51.44,51.72,59644
2011. 2. 11,52.08,52.08,51.52,51.68,34410
2011. 2. 14,51.72,51.94,51.68,51.92,50140
2011. 2. 15,51.98,51.98,51.68,51.72,60897
2011. 2. 16,52,52.34,51.96,52.34,73135
2011. 2. 17,52.28,52.92,52.28,52.7,93627
2011. 2. 18,52.72,53.1,52.68,53.1,111746
2011. 2. 22,52.98,53.02,52.34,52.5,176752
2011. 2. 23,52.54,52.54,52.22,52.44,58273
2011. 2. 24,52.46,52.5,52.36,52.5,141579
2011. 2. 25,52.52,52.66,52.3,52.56,146617
2011. 2. 28,52.9,52.9,52.66,52.74,35530
2011. 3. 1,52.52,52.62,52.34,52.44,70553
2011. 3. 2,52.5,52.5,52.38,52.48,168086
2011. 3. 3,52.68,52.74,52.54,52.63,142511
2011. 3. 4,52.74,52.78,52.62,52.72,169507
2011. 3. 7,52.8,52.8,52.42,52.46,80715
2011. 3. 8,52.52,52.76,52.36,52.7,127908
2011. 3. 9,52.8,52.96,52.56,52.88,614681
2011. 3. 10,52.8,52.8,52.6,52.68,90518
2011. 3. 11,52.68,52.88,52.6,52.8,51673
2011. 3. 14,53.34,53.34,52.62,52.82,55509
2011. 3. 15,52.28,52.76,52.2,52.58,47828
2011. 3. 16,52.56,52.58,52,52.09,60362
2011. 3. 17,52.22,52.6,51.84,51.9,143572
2011. 3. 18,52.46,52.48,52.1,52.16,84436
2011. 3. 21,52.56,52.64,52.42,52.46,91504
2011. 3. 22,52.8,52.86,52.48,52.82,40736
2011. 3. 23,52.74,52.98,52.58,52.8,28509
2011. 3. 24,52.9,53.2,52.81,53.2,166891
2011. 3. 25,53.36,53.36,53.18,53.26,43988
2011. 3. 28,53.14,53.48,53.1,53.34,74229
2011. 3. 29,53.3,53.35,53.02,53.14,100772
2011. 3. 30,53.4,53.52,53.3,53.52,83338
2011. 3. 31,53.66,53.92,53.64,53.79,919952
2011. 4. 1,53.78,53.92,53.5,53.72,157718
2011. 4. 4,53.92,54.18,53.72,53.72,359546
2011. 4. 5,53.72,54,53.62,53.78,29702
2011. 4. 6,54.02,54.56,54.02,54.22,242262
2011. 4. 7,54.34,54.46,54.12,54.3,47525
2011. 4. 8,54.68,54.76,54.47,54.54,97868
2011. 4. 11,54.58,54.78,54.58,54.58,57433
2011. 4. 12,54.68,54.78,54.4,54.4,54883
2011. 4. 13,54.48,54.74,54.48,54.58,101147
2011. 4. 14,54.26,54.64,54.2,54.64,232689
2011. 4. 15,54.62,54.84,54.45,54.72,67824
2011. 4. 18,54.2,54.38,53.92,53.92,195159
2011. 4. 19,54.4,54.55,54.1,54.5,85345
2011. 4. 20,54.86,54.98,54.8,54.82,68478
2011. 4. 21,54.86,55.12,54.78,54.98,89543
2011. 4. 25,55.2,55.2,54.88,54.88,95541
2011. 4. 26,55.18,55.2,55.1,55.16,58759
2011. 4. 27,55.46,55.6,55,55.54,296163
2011. 4. 28,55.52,55.65,55.22,55.58,128326
2011. 4. 29,55.82,55.88,55.64,55.82,106722
2011. 5. 2,55.66,55.66,55.5,55.6,76631
2011. 5. 3,55.36,55.48,55,55.06,468396
2011. 5. 4,55.36,55.5,54.98,55.02,145304
2011. 5. 5,54.84,54.86,54.32,54.32,189177
2011. 5. 6,54.98,54.98,54.24,54.28,261114
2011. 5. 9,54.52,54.7,54.4,54.68,115863
2011. 5. 10,54.78,54.84,54.66,54.76,177130
2011. 5. 11,54.9,54.92,54.36,54.4,137634
2011. 5. 12,54.48,54.5,54.28,54.5,48100
2011. 5. 13,54.28,54.32,53.86,54.02,99586
2011. 5. 16,54.1,54.2,53.82,53.9,300226
2011. 5. 17,54.06,54.18,53.84,54,92201
2011. 5. 18,54.42,54.44,54.1,54.36,100117
2011. 5. 19,54.54,54.76,54.38,54.76,55970
2011. 5. 20,54.74,54.82,54.54,54.72,268830
2011. 5. 23,54.2,54.36,54.12,54.3,253113
2011. 5. 24,54.36,54.48,54.3,54.32,49887
2011. 5. 25,54.1,54.5,54,54.06,78796
2011. 5. 26,54.28,54.42,54.12,54.3,42614
2011. 5. 27,54.46,54.62,54.4,54.53,50368
2011. 5. 31,54.78,55.04,54.78,55,137999
2011. 6. 1,55,55.1,54.78,54.8,82660
2011. 6. 2,54.98,55.16,54.96,55.16,90789
2011. 6. 3,56.24,56.24,55.02,55.22,139801
2011. 6. 6,55.28,55.36,54.96,54.96,124385
2011. 6. 7,55.26,55.34,55.08,55.26,74365
2011. 6. 8,55.2,55.34,55,55.18,61436
2011. 6. 9,55.12,55.26,55,55,56435
2011. 6. 10,55.34,55.34,54.74,54.8,88019
2011. 6. 13,55.18,55.18,54.78,54.9,88263
2011. 6. 14,54.94,55,54.84,54.92,63349
2011. 6. 15,54.8,54.84,54.32,54.54,134795
2011. 6. 16,54.1,54.36,54.04,54.06,142165
2011. 6. 17,54.48,54.74,54.34,54.68,320727
2011. 6. 20,54.5,54.64,54.22,54.58,81986
2011. 6. 21,54.74,55.02,54.54,54.78,1033882
2011. 6. 22,54.74,54.94,54.7,54.7,77669
2011. 6. 23,54.76,54.76,54.4,54.64,150031
2011. 6. 24,54.56,54.62,54.3,54.32,920652
2011. 6. 27,54.28,54.46,54.22,54.36,66913
2011. 6. 28,54.3,54.48,54.28,54.48,75401
2011. 6. 29,54.68,54.76,54.24,54.56,317553
2011. 6. 30,54.7,54.96,54.54,54.91,80330
2011. 7. 1,54.84,55.28,54.74,55.28,915952
2011. 7. 5,55.26,55.36,54.08,55.01,62116
2011. 7. 6,54.98,55.3,54.72,54.81,121134
2011. 7. 7,54.96,55.24,54.88,55.08,57662
2011. 7. 8,55.16,55.22,55,55.14,63620
2011. 7. 11,55.16,55.16,54.12,54.24,137980
2011. 7. 12,54.12,54.28,53.9,54.1,101848
2011. 7. 13,54.26,54.54,54.14,54.52,51341
2011. 7. 14,54.64,54.72,54.52,54.56,108851
2011. 7. 15,54.6,54.65,54.48,54.54,53849
2011. 7. 18,54.26,54.62,54.12,54.38,92637
2011. 7. 19,54.58,54.7,54.4,54.6,72425
2011. 7. 20,54.84,55.06,54.7,54.98,86685
2011. 7. 21,55.14,55.38,54.98,55.28,294443
2011. 7. 22,55.34,55.38,55.16,55.34,191811
2011. 7. 25,55.22,55.36,55,55.26,91347
2011. 7. 26,55.44,55.72,55.4,55.64,144578
2011. 7. 27,55.72,55.74,54.84,55.4,537523
2011. 7. 28,55.24,55.42,55.1,55.28,77347
2011. 7. 29,54.98,55.52,54.98,55.48,172891
2011. 8. 1,55.42,55.88,55.2,55.42,365802
2011. 8. 2,55.36,55.52,55.22,55.3,268789
2011. 8. 3,55.44,55.58,55.24,55.5,156301
2011. 8. 4,55.36,55.36,54.68,54.68,317820
2011. 8. 5,54.96,55.1,54.24,54.8,205841
2011. 8. 8,54.34,54.42,53.08,53.44,170349
2011. 8. 9,53.3,53.58,52.8,53.36,724074
2011. 8. 10,53.52,54,53.38,53.4,126271
2011. 8. 11,53.72,54.58,53.4,53.62,150642
2011. 8. 12,53.9,54.4,53.9,54.17,1562197
2011. 8. 15,54.74,54.94,54.02,54.92,139665
2011. 8. 16,54.46,54.78,54.44,54.64,118337
2011. 8. 17,55,55.04,54.68,54.94,127675
2011. 8. 18,54.94,54.98,54.14,54.42,97495
2011. 8. 19,54.46,54.74,54.42,54.6,59336
2011. 8. 22,55.04,55.04,54.24,54.56,181585
2011. 8. 23,54.88,55.04,54.5,55,137923
2011. 8. 24,55.02,55.02,54.5,54.5,107662
2011. 8. 25,54.98,54.98,54.5,54.56,66429
2011. 8. 26,54.64,55.01,54.42,54.6,173465
2011. 8. 29,55.04,55.5,54.78,54.8,122853
2011. 8. 30,55.12,55.46,54.76,55.13,93971
2011. 8. 31,55.44,55.56,55.22,55.52,240799
2011. 9. 1,55.78,55.78,54.86,54.9,223933
2011. 9. 2,54.84,55.3,54.84,54.86,260137
2011. 9. 6,55,55.08,54.26,54.46,155087
2011. 9. 7,54.64,54.78,54.54,54.78,146607
2011. 9. 8,54.74,54.74,54.2,54.48,247367
2011. 9. 9,54.02,54.16,53.78,53.92,159702
2011. 9. 12,53.46,53.54,53,53.22,155619
2011. 9. 13,53.1,53.2,52.14,52.6,1466804
2011. 9. 14,52.3,52.34,51.98,52.3,125281
2011. 9. 15,52.3,52.64,52.3,52.58,319416
2011. 9. 16,53.14,53.14,52.2,52.34,98968
2011. 9. 19,51.34,51.38,50.96,51.18,155267
2011. 9. 20,51.16,51.26,50.96,51.06,160414
2011. 9. 21,50.32,50.38,49.56,49.56,185099
2011. 9. 22,48.64,49.5,47.94,48,694011
2011. 9. 23,47.4,49.24,47.4,49.14,164149
2011. 9. 26,49.1,49.28,48.84,49.26,142304
2011. 9. 27,49.96,50.3,49.58,50.16,193073
2011. 9. 28,50.2,50.36,49.54,49.54,256942
2011. 9. 29,50.02,50.28,49.6,49.76,121036
2011. 9. 30,49.48,49.52,49.06,49.18,106166
2011. 10. 3,48.92,48.94,47.9,48.02,275400
2011. 10. 4,47.54,47.7,46.98,47.44,1904305
2011. 10. 5,47.32,49.02,47.02,48.9,181696
2011. 10. 6,48.8,49.64,48.8,49.56,128948
2011. 10. 7,49.76,50.22,49.56,49.84,174849
2011. 10. 10,50.06,50.86,50.06,50.8,215237
2011. 10. 11,50.62,50.92,50.5,50.92,94585
2011. 10. 12,51.3,51.46,50.98,51.28,111020
2011. 10. 13,51.4,51.4,50.9,51.12,64922
2011. 10. 14,51.46,51.6,51.24,51.48,386350
2011. 10. 17,51.5,51.6,50.92,51.02,101124
2011. 10. 18,50.76,51.08,50.52,51.02,123773
2011. 10. 19,51.2,51.2,50.78,50.82,82810
2011. 10. 20,50.66,50.76,50.06,50.42,277952
2011. 10. 21,50.58,50.9,50.56,50.74,291738
2011. 10. 24,50.96,51.5,50.84,51.32,399901
2011. 10. 25,51.2,51.39,50.9,51.02,271999
2011. 10. 26,51.36,51.4,50.72,51.22,154204
2011. 10. 27,52.14,52.58,51.86,52.4,145278
2011. 10. 28,52,52.6,52,52.52,132260
2011. 10. 31,52.38,52.38,51.78,51.78,133144
2011. 11. 1,50.48,51.04,49.74,50.86,113455
2011. 11. 2,51,51.12,50.68,50.84,76488
2011. 11. 3,51.38,51.56,51.24,51.46,41902
2011. 11. 4,51.88,51.88,51.2,51.24,140171
2011. 11. 7,51.2,51.32,51.1,51.14,85492
2011. 11. 8,52,52,51.42,51.66,171491
2011. 11. 9,51.12,51.12,50.42,50.42,88418
2011. 11. 10,50.78,50.78,50.36,50.58,80161
2011. 11. 11,50.76,51.22,50.76,51.16,58906
2011. 11. 14,51.04,51.04,50.26,50.48,1752973
2011. 11. 15,50.72,50.72,49.9,50.18,118435
2011. 11. 16,49.98,50.24,49.88,49.98,89985
2011. 11. 17,50.04,50.26,49.84,50.12,282395
2011. 11. 18,50.52,50.52,50,50.26,71311
2011. 11. 21,49.76,49.82,49.62,49.66,59283
2011. 11. 22,49.34,49.68,49.16,49.55,100387
2011. 11. 23,49.6,49.62,48.58,48.58,157059
2011. 11. 25,49,49,48.02,48.18,67646
2011. 11. 28,48.82,49,48.2,48.26,342548
2011. 11. 29,48.76,48.78,48.36,48.68,68162
2011. 11. 30,49.74,49.8,49.4,49.72,219924
2011. 12. 1,49.84,49.96,49.66,49.82,79891
2011. 12. 2,50.38,50.38,49.82,49.9,61286
2011. 12. 5,50.4,50.4,49.92,50.16,151966
2011. 12. 6,49.52,50.14,49.48,50,149822
2011. 12. 7,50.18,50.18,49.94,50.16,75400
2011. 12. 8,49.78,49.96,49.58,49.64,103463
2011. 12. 9,49.58,49.92,49.58,49.92,102497
2011. 12. 12,49.38,49.38,49.08,49.2,74535
2011. 12. 13,49.24,49.36,48.86,48.9,62900
2011. 12. 14,48.66,48.72,48.5,48.66,131515
2011. 12. 15,48.9,48.94,48.78,48.86,124128
2011. 12. 16,48.98,49.1,48.75,48.96,77666
2011. 12. 19,48.86,48.9,48.64,48.76,90804
2011. 12. 20,49.06,49.16,49.06,49.1,83576
2011. 12. 21,49.14,49.24,49.1,49.16,70984
2011. 12. 22,49.28,49.32,49.02,49.26,244880
2011. 12. 23,49.2,49.44,49.16,49.22,173248
2011. 12. 27,49.28,49.66,49.02,49.54,392338
2011. 12. 28,49.3,49.3,48.76,48.88,106683
2011. 12. 29,48.76,48.96,48.66,48.86,123655
2011. 12. 30,48.9,49.08,48.8,49.02,177450
2012. 1. 3,49.18,49.56,49.18,49.54,172671
2012. 1. 4,49.18,49.36,48.98,49.02,59884
2012. 1. 5,49,49.08,48.9,48.94,76825
2012. 1. 6,49.16,49.16,48.94,49.02,72198
2012. 1. 9,49.18,49.18,49,49.18,97453
2012. 1. 10,49.42,49.58,49.42,49.48,69486
2012. 1. 11,49.4,49.4,49.22,49.36,125630
2012. 1. 12,49.52,49.68,49.08,49.12,573403
2012. 1. 13,49,49.62,49,49.35,202712
2012. 1. 17,50,50.08,49.5,50,166935
2012. 1. 18,50.2,50.62,50.1,50.58,387481
2012. 1. 19,50.8,51.02,50.72,50.96,130216
2012. 1. 20,50.88,51.14,50.84,51,128192
