Date,Open,High,Low,Close,Volume
2010. 7. 23,23.44,23.5,23.18,23.22,2789664
2010. 7. 26,23.3,23.32,23.08,23.12,3029339
2010. 7. 27,23,23.02,22.66,22.74,6377345
2010. 7. 28,22.7,22.8,22.64,22.78,1968277
2010. 7. 29,22.74,22.9,22.7,22.86,1442988
2010. 7. 30,22.9,23.16,22.84,23.12,1782323
2010. 8. 2,23.26,23.3,23.06,23.14,1344790
2010. 8. 3,23.2,23.3,23.18,23.22,2409814
2010. 8. 4,23.52,23.54,23.34,23.36,3446650
2010. 8. 5,23.42,23.44,23.3,23.4,2004573
2010. 8. 6,23.62,23.7,23.52,23.6,2267772
2010. 8. 9,23.58,23.6,23.46,23.5,1368367
2010. 8. 10,23.34,23.62,23.3,23.58,2181997
2010. 8. 11,23.58,23.62,23.32,23.5,9463441
2010. 8. 12,23.72,23.8,23.7,23.78,2084138
2010. 8. 13,23.8,23.8,23.7,23.78,2116609
2010. 8. 16,23.96,24,23.9,23.94,2862885
2010. 8. 17,23.98,24.02,23.94,23.96,2456092
2010. 8. 18,23.88,24.12,23.82,24.06,2467831
2010. 8. 19,24.16,24.22,24.04,24.08,2785486
2010. 8. 20,24.02,24.04,23.92,24.02,1646120
2010. 8. 23,24.02,24.04,23.9,23.98,1927866
2010. 8. 24,23.76,24.18,23.76,24.1,2635030
2010. 8. 25,24.24,24.3,24.16,24.28,3745006
2010. 8. 26,24.24,24.28,24.14,24.2,3950917
2010. 8. 27,24.28,24.32,24.12,24.24,2161399
2010. 8. 30,24.2,24.24,24.14,24.2,1557026
2010. 8. 31,24.38,24.46,24.32,24.44,4805927
2010. 9. 1,24.46,24.48,24.3,24.38,5663710
2010. 9. 2,24.5,24.52,24.4,24.48,2710772
2010. 9. 3,24.3,24.48,24.26,24.38,2604205
2010. 9. 7,24.6,24.64,24.54,24.58,2758548
2010. 9. 8,24.58,24.72,24.54,24.58,3854586
2010. 9. 9,24.52,24.6,24.3,24.34,2860634
2010. 9. 10,24.3,24.48,24.3,24.36,1469232
2010. 9. 13,24.36,24.44,24.3,24.36,1657276
2010. 9. 14,24.6,24.94,24.6,24.82,3603630
2010. 9. 15,24.82,24.88,24.7,24.8,1613056
2010. 9. 16,24.94,25,24.87,24.96,2596171
2010. 9. 17,25.04,25.04,24.88,24.94,1887934
2010. 9. 20,25.06,25.12,24.98,25.02,1792035
2010. 9. 21,25,25.26,24.88,25.24,3375170
2010. 9. 22,25.34,25.36,25.17,25.28,5588407
2010. 9. 23,25.26,25.36,25.2,25.28,2233235
2010. 9. 24,25.42,25.44,25.3,25.34,2982220
2010. 9. 27,25.42,25.42,25.33,25.38,3214299
2010. 9. 28,25.32,25.64,25.24,25.62,3326810
2010. 9. 29,25.62,25.68,25.54,25.6,3257052
2010. 9. 30,25.66,25.68,25.34,25.6,3331204
2010. 10. 1,25.78,25.84,25.7,25.82,2445974
2010. 10. 4,25.74,25.76,25.68,25.74,2767137
2010. 10. 5,26.06,26.26,26,26.24,3942494
2010. 10. 6,26.32,26.4,26.3,26.38,4327632
2010. 10. 7,26.56,26.56,25.92,26.1,9374956
2010. 10. 8,26.2,26.42,26.12,26.36,3664395
2010. 10. 11,26.3,26.5,26.24,26.48,3057490
2010. 10. 12,26.46,26.48,26.3,26.41,3537912
2010. 10. 13,26.58,26.89,26.56,26.86,3607703
2010. 10. 14,26.86,27,26.82,27,3566843
2010. 10. 15,26.9,26.92,26.64,26.76,4267587
2010. 10. 18,26.74,26.9,26.66,26.88,3124814
2010. 10. 19,26.12,26.36,25.98,26.08,5920223
2010. 10. 20,26.08,26.36,26.08,26.28,2255410
2010. 10. 21,26.26,26.36,25.78,25.94,3246002
2010. 10. 22,25.92,25.98,25.82,25.96,2955808
2010. 10. 25,26.28,26.31,26.06,26.22,5535650
2010. 10. 26,26.04,26.26,25.98,26.2,3160933
2010. 10. 27,26,26.04,25.78,25.92,4153330
2010. 10. 28,26.12,26.34,26,26.28,2862163
2010. 10. 29,26.32,26.6,26.24,26.56,2843686
2010. 11. 1,26.62,26.64,26.38,26.42,2207154
2010. 11. 2,26.52,26.56,26.42,26.54,2959432
2010. 11. 3,26.5,26.54,25.92,26.34,7509711
2010. 11. 4,26.96,27.26,26.88,27.22,6150616
2010. 11. 5,27.06,27.36,27.02,27.3,8807922
2010. 11. 8,27.22,27.6,27.14,27.6,4616957
2010. 11. 9,27.8,27.86,27.04,27.14,9543786
2010. 11. 10,27.46,27.5,27.06,27.48,3617511
2010. 11. 11,27.56,27.58,27.32,27.54,3516828
2010. 11. 12,27.21,27.3,26.6,26.76,5509935
2010. 11. 15,26.82,26.94,26.5,26.5,2784589
2010. 11. 16,26.48,26.52,26,26.24,10199111
2010. 11. 17,26.18,26.3,26.06,26.14,2677124
2010. 11. 18,26.4,26.6,26.35,26.46,2958176
2010. 11. 19,26.34,26.5,26.24,26.46,1949976
2010. 11. 22,26.46,26.76,26.38,26.73,5355206
2010. 11. 23,26.75,27.04,26.72,26.92,3984229
2010. 11. 24,26.92,26.96,26.78,26.87,2678977
2010. 11. 26,26.5,26.62,26.42,26.58,1179363
2010. 11. 29,26.68,26.8,26.5,26.72,2927695
2010. 11. 30,27.07,27.18,27,27.12,5074296
2010. 12. 1,27.18,27.26,27.02,27.14,2663794
2010. 12. 2,27.16,27.36,27.06,27.06,7031975
2010. 12. 3,27.36,27.66,27.34,27.64,3216367
2010. 12. 6,27.68,27.94,27.58,27.88,4559443
2010. 12. 7,27.94,27.94,27.32,27.34,6289947
2010. 12. 8,27.2,27.3,26.8,27,4943986
2010. 12. 9,27.18,27.28,27,27.12,3126149
2010. 12. 10,27,27.14,26.82,27.12,2549073
2010. 12. 13,27.3,27.36,27.2,27.24,30020800
2010. 12. 14,27.3,27.48,27.2,27.27,3000436
2010. 12. 15,27.1,27.22,26.98,27,2304496
2010. 12. 16,26.9,26.9,26.6,26.82,5741960
2010. 12. 17,26.83,26.96,26.68,26.88,2059514
2010. 12. 20,27.08,27.14,26.9,27.06,3427679
2010. 12. 21,27.08,27.16,27,27.1,2272177
2010. 12. 22,27.16,27.18,27.04,27.05,2389025
2010. 12. 23,26.9,27.02,26.83,26.98,1853346
2010. 12. 27,27.02,27.06,26.94,27.04,1612833
2010. 12. 28,27.42,27.52,27.36,27.48,2816531
2010. 12. 29,27.52,27.64,27.48,27.58,3100420
2010. 12. 30,27.56,27.58,27.42,27.44,1584091
2010. 12. 31,27.6,27.8,27.58,27.8,4504686
2011. 1. 3,27.76,27.84,27.62,27.64,4339482
2011. 1. 4,27.28,27.3,26.87,27,5029496
2011. 1. 5,26.74,26.98,26.66,26.92,5944501
2011. 1. 6,26.84,26.91,26.66,26.82,4264519
2011. 1. 7,26.7,26.96,26.66,26.77,3405973
2011. 1. 10,26.8,26.88,26.68,26.88,1894016
2011. 1. 11,27,27.08,26.82,27.01,4447275
2011. 1. 12,27,27.16,26.9,27.13,2658947
2011. 1. 13,27.16,27.18,26.76,26.85,5299541
2011. 1. 14,26.68,26.74,26.48,26.6,4740258
2011. 1. 18,26.76,26.84,26.67,26.72,3806509
2011. 1. 19,26.92,26.92,26.72,26.78,4174118
2011. 1. 20,26.4,26.46,26.24,26.27,5961301
2011. 1. 21,26.2,26.32,26.14,26.26,6351711
2011. 1. 24,26.24,26.36,26.06,26.1,5284692
2011. 1. 25,25.98,26.1,25.84,26.06,6695815
2011. 1. 26,26,26.28,25.88,26.28,5392170
2011. 1. 27,26.08,26.14,25.6,25.64,12538720
2011. 1. 28,25.64,26.32,25.62,26.08,31346202
2011. 1. 31,25.9,26.14,25.88,26.02,6646136
2011. 2. 1,26.12,26.26,25.9,26.18,5926330
2011. 2. 2,26.12,26.16,25.92,26.14,3721650
2011. 2. 3,26.04,26.5,25.9,26.47,5822679
2011. 2. 4,26.4,26.58,26.28,26.37,5383933
2011. 2. 7,26.36,26.44,26.28,26.4,3547070
2011. 2. 8,26.66,26.74,26.6,26.68,4000881
2011. 2. 9,26.7,26.72,26.54,26.68,4766209
2011. 2. 10,26.46,26.72,26.44,26.64,3280774
2011. 2. 11,26.64,26.74,26.46,26.51,5192205
2011. 2. 14,26.62,26.72,26.58,26.64,1647302
2011. 2. 15,26.81,26.88,26.77,26.83,4369366
2011. 2. 16,26.9,27,26.74,26.87,4520657
2011. 2. 17,27,27.08,26.94,27.06,7089264
2011. 2. 18,27.08,27.22,27.02,27.12,7481952
2011. 2. 22,27.44,27.5,27.28,27.31,5507197
2011. 2. 23,27.44,27.7,27.42,27.56,5646447
2011. 2. 24,27.66,27.68,27.2,27.36,8671248
2011. 2. 25,27.5,27.6,27.4,27.54,3399465
2011. 2. 28,27.58,27.68,27.46,27.58,3503093
2011. 3. 1,27.76,28.06,27.74,28.06,7317660
2011. 3. 2,28.1,28.16,27.94,28.04,7358104
2011. 3. 3,27.82,27.86,27.56,27.68,5484354
2011. 3. 4,27.76,28,27.76,27.92,5282465
2011. 3. 7,28.12,28.16,27.9,28,4920499
2011. 3. 8,27.98,28,27.82,27.92,7088746
2011. 3. 9,28.06,28.06,27.84,27.94,4722430
2011. 3. 10,27.76,27.76,27.42,27.62,3182182
2011. 3. 11,27.5,27.84,27.48,27.7,3351038
2011. 3. 14,27.92,27.96,27.76,27.84,4479071
2011. 3. 15,27.12,27.44,27.1,27.32,4779520
2011. 3. 16,27.36,27.48,27.2,27.29,4179584
2011. 3. 17,27.38,27.46,27.3,27.44,5227453
2011. 3. 18,27.68,27.82,27.6,27.72,2254395
2011. 3. 21,27.96,28.04,27.86,27.9,2127920
2011. 3. 22,27.83,27.92,27.78,27.88,2017353
2011. 3. 23,27.96,28.16,27.96,28.12,4957013
2011. 3. 24,28.12,28.3,27.82,27.88,6474669
2011. 3. 25,28.06,28.1,27.78,27.9,4652066
2011. 3. 28,27.62,27.82,27.6,27.74,2467569
2011. 3. 29,27.69,27.82,27.64,27.72,2993899
2011. 3. 30,27.86,27.88,27.58,27.78,2740245
2011. 3. 31,28.06,28.14,28,28.04,3899468
2011. 4. 1,27.8,27.96,27.62,27.9,3027170
2011. 4. 4,28.06,28.1,27.94,28,4586784
2011. 4. 5,27.96,28.48,27.96,28.46,3975958
2011. 4. 6,28.54,28.58,28.4,28.54,3861243
2011. 4. 7,28.52,28.63,28.4,28.54,2890921
2011. 4. 8,28.74,28.82,28.65,28.78,4239826
2011. 4. 11,28.72,28.76,28.52,28.6,3126198
2011. 4. 12,28.62,28.62,28.2,28.4,4559107
2011. 4. 13,28.54,28.56,28.34,28.46,3392163
2011. 4. 14,28.52,28.82,28.5,28.82,4131303
2011. 4. 15,28.83,29.08,28.76,29.06,8989732
2011. 4. 18,29.1,29.26,28.98,29.24,7821471
2011. 4. 19,29.2,29.3,29.08,29.25,5321538
2011. 4. 20,29.34,29.42,29.2,29.34,4779183
2011. 4. 21,29.38,29.48,29.32,29.4,3940951
2011. 4. 25,29.58,29.58,29.34,29.44,9128712
2011. 4. 26,29.36,29.38,29.14,29.34,8632814
2011. 4. 27,29.54,29.9,29.36,29.9,9244443
2011. 4. 28,29.92,30.06,29.76,30.02,4766013
2011. 4. 29,30.02,30.66,30,30.54,6428310
2011. 5. 2,30.36,30.78,30.12,30.12,6946610
2011. 5. 3,30.14,30.26,29.82,30.02,7430604
2011. 5. 4,30.02,30.12,29.4,29.62,9244750
2011. 5. 5,29.4,29.58,28.56,28.76,16170648
2011. 5. 6,29.1,29.28,28.92,29.14,9352793
2011. 5. 9,29.4,29.58,29.33,29.56,3802489
2011. 5. 10,29.5,29.7,29.44,29.64,3980202
2011. 5. 11,29.5,29.54,29.2,29.38,5301546
2011. 5. 12,29.22,29.48,29.04,29.38,6259838
2011. 5. 13,29.4,29.52,28.96,29.18,6634797
2011. 5. 16,29.22,29.4,29.1,29.14,4099079
2011. 5. 17,28.9,29.02,28.74,29,5543357
2011. 5. 18,29.16,29.3,29.08,29.18,2908681
2011. 5. 19,29.08,29.22,29.02,29.2,5431534
2011. 5. 20,29.2,29.62,29.06,29.58,8692528
2011. 5. 23,29.48,29.66,29.46,29.64,4636204
2011. 5. 24,29.76,29.86,29.7,29.8,5465837
2011. 5. 25,29.82,29.94,29.76,29.8,4909633
2011. 5. 26,29.76,29.78,29.58,29.72,4238735
2011. 5. 27,29.88,30.06,29.86,30.02,3620153
2011. 5. 31,30.02,30.1,29.94,29.98,3178188
2011. 6. 1,30,30.29,29.94,30.04,4504200
2011. 6. 2,30.1,30.14,29.68,29.98,10596327
2011. 6. 3,30.12,30.2,29.98,30.1,3879165
2011. 6. 6,30.24,30.36,30.1,30.15,5252235
2011. 6. 7,30.2,30.24,30,30.14,6083896
2011. 6. 8,30.08,30.14,29.94,30.02,2211130
2011. 6. 9,30.08,30.28,30,30.16,2508877
2011. 6. 10,29.88,30.02,29.8,29.92,3488633
2011. 6. 13,29.8,29.88,29.5,29.6,3747008
2011. 6. 14,29.6,29.82,29.56,29.79,2713919
2011. 6. 15,29.7,29.98,29.64,29.9,3790410
2011. 6. 16,29.82,29.94,29.7,29.84,5612295
2011. 6. 17,29.86,30.12,29.84,30.06,4147382
2011. 6. 20,30.08,30.22,29.98,30.08,3931435
2011. 6. 21,30.12,30.24,30.1,30.2,4654451
2011. 6. 22,30.28,30.44,30.18,30.28,6276410
2011. 6. 23,29.8,29.84,29.52,29.74,4884326
2011. 6. 24,29.64,29.68,29.26,29.32,4693130
2011. 6. 27,29.26,31.18,29.1,29.22,6464770
2011. 6. 28,29.28,29.42,29.2,29.32,3280991
2011. 6. 29,29.4,29.56,29.34,29.52,4233371
2011. 6. 30,29.5,29.56,29.26,29.28,4314876
2011. 7. 1,29.06,29.08,28.86,29.04,4312604
2011. 7. 5,29.44,29.63,29.42,29.6,3254582
2011. 7. 6,29.8,29.96,29.78,29.86,3764584
2011. 7. 7,29.88,29.94,29.74,29.92,4705805
2011. 7. 8,30.12,30.18,30.06,30.14,8782277
2011. 7. 11,30.34,30.4,30.1,30.38,7401123
2011. 7. 12,30.32,30.74,30.22,30.64,7862659
2011. 7. 13,30.82,31.02,30.78,30.9,12417940
2011. 7. 14,31.04,31.12,30.86,31,11502242
2011. 7. 15,30.92,31.12,30.9,31.12,15789168
2011. 7. 18,31.22,31.4,31.2,31.38,11064619
2011. 7. 19,31.34,31.34,30.88,31,10034794
2011. 7. 20,30.9,31.28,30.88,31.26,9838851
2011. 7. 21,31.26,31.28,30.94,31.06,8660493
2011. 7. 22,31.28,31.38,31.2,31.3,7005143
2011. 7. 25,31.59,31.64,31.42,31.54,6716787
2011. 7. 26,31.46,31.64,31.4,31.64,4516009
2011. 7. 27,31.78,31.8,31.4,31.5,12697898
2011. 7. 28,31.58,31.6,31.28,31.54,5902064
2011. 7. 29,31.76,31.9,31.62,31.74,10398548
2011. 8. 1,31.58,31.86,31.43,31.62,6733973
2011. 8. 2,31.92,32.4,31.86,32.38,14744459
2011. 8. 3,32.54,32.66,32.34,32.38,12100832
2011. 8. 4,32.79,32.84,32,32.22,18469324
2011. 8. 5,32.42,32.54,32.16,32.44,13593197
2011. 8. 8,33.18,33.6,33.04,33.48,17850016
2011. 8. 9,34.06,34.72,33.56,33.8,31026412
2011. 8. 10,34.58,35.12,34.4,35,26466120
2011. 8. 11,34.54,34.56,33.8,34.24,24148484
2011. 8. 12,34,34.1,33.62,34.08,14823028
2011. 8. 15,33.94,34.46,33.86,34.46,9014350
2011. 8. 16,34.6,34.9,34.58,34.88,13977503
2011. 8. 17,34.88,35.02,34.72,34.98,10529724
2011. 8. 18,35.52,35.7,35.36,35.64,11145152
2011. 8. 19,36.38,36.42,35.87,36.08,12085886
2011. 8. 22,36.48,37.06,36.4,37,13865638
2011. 8. 23,36.52,36.84,35.58,35.62,20238882
2011. 8. 24,35.68,35.76,34.14,34.42,45029796
2011. 8. 25,33.48,34.64,33.24,34.56,28884582
2011. 8. 26,34.8,35.6,34.44,35.6,22906192
2011. 8. 29,35.28,35.28,34.66,34.88,11862372
2011. 8. 30,35.62,35.92,35.41,35.92,13534999
2011. 8. 31,35.62,35.92,35.34,35.64,11649974
2011. 9. 1,35.58,35.74,35.39,35.66,6659404
2011. 9. 2,36.64,36.8,36.5,36.74,12656142
2011. 9. 6,37.02,37.26,36.36,36.68,18996404
2011. 9. 7,35.32,35.7,34.98,35.5,23492950
2011. 9. 8,36.38,36.52,36.04,36.46,15102887
2011. 9. 9,36.02,36.48,35.92,36.24,16430977
2011. 9. 12,35.82,35.88,35.16,35.42,12325625
2011. 9. 13,35.6,36,35.34,35.8,5894171
2011. 9. 14,35.58,35.66,35.3,35.54,6490965
2011. 9. 15,34.98,35.05,34.6,34.96,9572784
2011. 9. 16,34.82,35.56,34.82,35.26,10507005
2011. 9. 19,35.42,35.42,34.54,34.72,10020152
2011. 9. 20,34.72,35.36,34.66,35.24,8673536
2011. 9. 21,35.02,35.42,34.7,34.8,8737969
2011. 9. 22,33.92,34.14,33.56,33.94,17958904
2011. 9. 23,32.98,33.21,31.78,32.04,33240786
2011. 9. 26,31.48,31.84,30.9,31.58,26058652
2011. 9. 27,32.38,32.54,32.06,32.22,15397474
2011. 9. 28,32.24,32.34,31.18,31.3,9864798
2011. 9. 29,31.72,31.72,31.3,31.62,7374673
2011. 9. 30,31.56,31.86,31.35,31.66,9172008
2011. 10. 3,32.28,32.4,32.06,32.26,8354618
2011. 10. 4,32.28,32.3,31.12,31.62,12696131
2011. 10. 5,31.7,32.14,31.37,31.98,10552316
2011. 10. 6,32.08,32.3,31.84,32.18,8358417
2011. 10. 7,32.3,32.4,31.72,31.94,7619496
2011. 10. 10,32.48,32.74,32.32,32.74,5292954
2011. 10. 11,32.54,32.58,32.32,32.5,5192455
2011. 10. 12,32.84,32.88,32.62,32.72,5112161
2011. 10. 13,32.54,32.58,32.26,32.56,5425011
2011. 10. 14,32.74,32.86,32.52,32.78,4145967
2011. 10. 17,32.88,32.92,32.48,32.6,3785927
2011. 10. 18,32.08,32.5,31.74,32.48,5661035
2011. 10. 19,32.3,32.38,32,32.04,4346430
2011. 10. 20,31.58,31.76,31.28,31.64,7546867
2011. 10. 21,32.06,32.16,31.86,31.98,4873814
2011. 10. 24,32.2,32.36,32.12,32.28,3460583
2011. 10. 25,32.34,33.36,32.16,33.22,8762901
2011. 10. 26,33.52,33.7,33.36,33.56,5992372
2011. 10. 27,33.62,34.14,33.42,34.06,7466225
2011. 10. 28,34.02,34.08,33.84,34.02,4404728
2011. 10. 31,33.64,33.72,33.46,33.54,5449570
2011. 11. 1,32.9,33.58,32.8,33.54,7925660
2011. 11. 2,33.82,34.04,33.54,33.9,7360240
2011. 11. 3,34.32,34.48,34.06,34.42,13737648
2011. 11. 4,34.3,34.36,34.12,34.28,3233480
2011. 11. 7,34.64,35.1,34.64,35.08,5355887
2011. 11. 8,34.96,35.18,34.66,34.82,5205365
2011. 11. 9,34.96,35.06,34.42,34.52,5795607
2011. 11. 10,34.58,34.6,33.86,34.34,9639034
2011. 11. 11,34.52,34.9,34.5,34.88,2800997
2011. 11. 14,34.84,34.86,34.6,34.72,2955369
2011. 11. 15,34.76,34.84,34.46,34.78,4273487
2011. 11. 16,34.42,34.68,34.22,34.38,4657807
2011. 11. 17,34.1,34.14,33.36,33.5,8364585
2011. 11. 18,33.52,33.82,33.4,33.64,4791601
2011. 11. 21,33.4,33.42,32.5,32.81,8272012
2011. 11. 22,33.04,33.28,33.02,33.16,4746843
2011. 11. 23,33,33.16,32.72,33.08,4616981
2011. 11. 25,32.76,33.12,32.74,32.78,2296696
2011. 11. 28,33.46,33.52,33.28,33.42,3884837
2011. 11. 29,33.36,33.56,33.31,33.46,5389064
2011. 11. 30,34.02,34.16,33.92,34.12,4830146
2011. 12. 1,34.06,34.2,33.82,34.04,3527061
2011. 12. 2,34.22,34.26,33.96,34.06,4002450
2011. 12. 5,33.92,34.09,33.5,33.56,5256650
2011. 12. 6,33.36,33.82,33.2,33.74,3835097
2011. 12. 7,33.84,34,33.64,33.96,4006029
2011. 12. 8,33.5,33.62,33.24,33.3,8608946
2011. 12. 9,33.38,33.56,33.32,33.36,5494268
2011. 12. 12,32.58,32.58,32.32,32.5,11426219
2011. 12. 13,32.48,32.74,31.64,31.8,13017202
2011. 12. 14,31.44,31.54,30.48,30.64,17294368
2011. 12. 15,31.02,31.04,30.42,30.56,11011927
2011. 12. 16,30.94,31.16,30.87,31.14,4445543
2011. 12. 19,31.18,31.26,30.96,31.08,6023363
2011. 12. 20,31.44,31.58,31.4,31.5,3708049
2011. 12. 21,31.5,31.6,31.3,31.5,4414562
2011. 12. 22,31.34,31.44,31.14,31.28,3936372
2011. 12. 23,31.34,31.4,31.26,31.34,1964982
2011. 12. 27,31.08,31.2,31,31.06,4360227
2011. 12. 28,30.88,30.94,30.22,30.3,7051856
2011. 12. 29,29.89,30.24,29.74,30.14,10234574
2011. 12. 30,30.52,30.84,30.44,30.46,5485286
2012. 1. 3,31.02,31.36,31,31.28,7420053
2012. 1. 4,31.18,31.56,31.18,31.44,7223610
2012. 1. 5,31.16,31.7,31.14,31.62,5513233
2012. 1. 6,31.82,31.82,31.38,31.52,7335630
2012. 1. 9,31.58,31.61,31.32,31.39,3613461
2012. 1. 10,31.9,31.98,31.79,31.84,4496117
2012. 1. 11,31.98,32.1,31.88,32.02,5532276
2012. 1. 12,32.28,32.42,32.06,32.16,5493530
2012. 1. 13,31.94,32.02,31.7,31.94,3572109
2012. 1. 17,32.3,32.42,32.18,32.18,4365168
2012. 1. 18,32.08,32.42,32.04,32.4,3599121
2012. 1. 19,32.3,32.38,32.16,32.32,4845466
2012. 1. 20,32.22,32.5,32.16,32.48,3497447
2012. 1. 23,32.58,32.8,32.56,32.74,3231842
2012. 1. 24,32.46,32.58,32.4,32.48,3216315
2012. 1. 25,32.32,33.42,32.14,33.4,19945160
2012. 1. 26,33.7,33.76,33.5,33.54,9811463
2012. 1. 27,33.6,33.92,33.58,33.9,7631144
2012. 1. 30,33.74,33.81,33.66,33.72,5664547
2012. 1. 31,34.06,34.08,33.64,33.96,9111360
2012. 2. 1,34.06,34.14,33.92,34.02,5758344
2012. 2. 2,34.1,34.36,34.04,34.3,7710715
2012. 2. 3,34.08,34.14,33.6,33.64,9542100
2012. 2. 6,33.5,33.64,33.42,33.54,3719357
2012. 2. 7,33.58,34.12,33.54,34.04,5271193
2012. 2. 8,33.96,34.1,33.6,33.8,5403230
2012. 2. 9,34.1,34.18,33.64,33.7,12090456
2012. 2. 10,33.4,33.62,33.36,33.54,5459343
2012. 2. 13,33.58,33.7,33.46,33.62,2959725
2012. 2. 14,33.64,33.68,33.38,33.52,4493004
2012. 2. 15,33.84,33.86,33.54,33.74,4234411
2012. 2. 16,33.38,33.74,33.32,33.7,4387362
2012. 2. 17,33.76,33.76,33.49,33.6,4486327
2012. 2. 21,34.02,34.32,34.02,34.32,6100067
2012. 2. 22,34.2,34.74,34.14,34.68,6646352
2012. 2. 23,34.66,34.86,34.56,34.7,7272713
2012. 2. 24,34.62,34.72,34.51,34.56,5357006
2012. 2. 27,34.53,34.7,34.42,34.46,3624359
2012. 2. 28,34.67,34.92,34.63,34.82,4801584
2012. 2. 29,34.74,34.82,32.9,32.96,21299180
2012. 3. 1,33.34,33.65,33.26,33.44,8360680
2012. 3. 2,33.35,33.46,33.22,33.36,4024996
2012. 3. 5,33.26,33.28,33,33.26,6847777
