Date,Open,High,Low,Close,Volume
2010. 7. 23,53.33,53.4,52.88,52.88,1370
2010. 7. 26,52.82,52.91,52.8,52.8,2394
2010. 7. 27,52.97,52.99,52.88,52.88,900
2010. 7. 28,52.87,53.17,52.87,53.15,1800
2010. 7. 29,53,53.13,53,53.11,7450
2010. 7. 30,53.4,53.49,53.33,53.49,359
2010. 8. 2,53.44,53.5,53.44,53.44,6402
2010. 8. 3,53.55,53.7,53.55,53.7,900
2010. 8. 4,53.59,53.72,53.59,53.6,1632
2010. 8. 5,53.98,53.98,53.66,53.66,555
2010. 8. 6,54.06,54.1,53.93,54.03,8830
2010. 8. 9,53.89,54.02,53.89,54.01,2500
2010. 8. 10,54.05,54.57,53.96,54.57,2734
2010. 8. 11,54.57,54.85,54.57,54.82,3215
2010. 8. 12,54.77,54.77,54.2,54.2,23225
2010. 8. 13,54.55,54.67,54.46,54.62,9607
2010. 8. 16,55.15,55.15,54.98,55.14,4164
2010. 8. 17,55.03,55.03,54.69,54.69,9004
2010. 8. 18,54.95,55.07,54.65,54.65,10357
2010. 8. 19,54.75,55.09,54.75,54.97,12000
2010. 8. 20,54.98,55,54.79,54.79,31751
2010. 8. 23,54.5,54.69,54.42,54.69,1504
2010. 8. 24,55.18,55.35,54.97,55.25,12839
2010. 8. 25,55.44,55.45,55.44,55.45,200
2010. 8. 26,55.61,56.08,55.61,56.07,3975
2010. 8. 27,55.9,55.9,55.22,55.22,4059
2010. 8. 30,55.58,55.89,55.58,55.82,6155
2010. 8. 31,56.04,56.11,55.98,56.02,4430
2010. 9. 1,55.52,55.52,55.31,55.31,400
2010. 9. 2,55.37,55.47,55.34,55.47,1030
2010. 9. 3,55.26,55.38,55.25,55.38,807
2010. 9. 7,55.73,55.92,55.73,55.92,1273
2010. 9. 8,55.84,55.84,55.5,55.78,2717
2010. 9. 9,55.48,55.5,55.41,55.41,846
2010. 9. 10,55.29,55.56,55.29,55.56,1430
2010. 9. 13,55.3,55.9,55.3,55.9,2200
2010. 9. 14,56.14,56.15,55.95,55.95,2753
2010. 9. 15,55.73,55.84,55.47,55.47,2335
2010. 9. 16,54.97,54.97,54.97,54.97,250
2010. 9. 17,55.17,55.17,55,55,3000
2010. 9. 20,55.08,55.43,55.08,55.43,1285
2010. 9. 21,55.64,56.33,55.64,56.33,7755
