Date,Open,High,Low,Close,Volume
2010. 7. 23,78.87,79.04,78.4,78.68,3828
2010. 7. 26,78.25,78.51,78.04,78.51,9869
2010. 7. 27,78.51,78.75,78.4,78.61,11589
2010. 7. 28,79.09,79.09,78.52,79.01,10182
2010. 7. 29,79.25,79.32,78.45,79.04,9022
2010. 7. 30,79.21,79.54,79.1,79.51,12929
2010. 8. 2,79.21,79.31,78.71,79.08,16565
2010. 8. 3,79.15,79.27,79.05,79.26,10488
2010. 8. 4,79.49,79.49,79,79,10570
2010. 8. 5,79.86,79.86,78.85,79.1,19334
2010. 8. 6,79.52,79.55,79.03,79.54,6563
2010. 8. 9,79.5,79.62,79.47,79.54,10698
2010. 8. 10,79.44,80.33,79.1,79.63,51693
2010. 8. 11,79.51,79.96,79.16,79.82,14251
2010. 8. 12,80.16,80.28,79.79,79.79,11053
2010. 8. 13,79.82,80.53,79.82,80.45,3798
2010. 8. 16,81.57,81.9,81.19,81.85,15643
2010. 8. 17,82.04,82.04,81.53,81.78,11588
2010. 8. 18,82.08,82.08,81.7,81.7,8319
2010. 8. 19,81.75,84.21,81.75,82.82,16707
2010. 8. 20,83.14,83.34,82.57,82.6,13552
2010. 8. 23,82.32,82.64,81.8,82.22,10243
2010. 8. 24,83.13,83.52,82.4,83.52,8228
2010. 8. 25,83.69,83.85,82.9,83.05,22643
2010. 8. 26,83,83.44,82.37,83.19,9605
2010. 8. 27,82.82,83.15,81.13,81.82,6995
2010. 8. 30,82.26,82.76,80.9,82.7,6410
2010. 8. 31,82.98,83,82.5,82.92,2686
2010. 9. 1,82.14,82.14,80.18,81.42,10506
2010. 9. 2,81.48,81.56,80.98,81.42,10501
2010. 9. 3,80.74,80.74,80.18,80.2,154477
2010. 9. 7,80.75,81.8,80.75,81.79,16098
2010. 9. 8,81.6,81.6,80.7,81.03,2013
2010. 9. 9,80.91,80.91,80.01,80.01,6258
2010. 9. 10,80.3,80.3,79.48,79.95,4284
2010. 9. 13,79.33,80.1,79.33,80.1,10594
2010. 9. 14,80.76,80.76,80.31,80.31,4921
2010. 9. 15,80.22,80.57,79.84,80.12,28219
2010. 9. 16,79.44,79.57,78.99,79.15,50541
2010. 9. 17,79.72,79.72,79.37,79.63,9874
2010. 9. 20,80.15,80.15,79.68,79.8,10470
2010. 9. 21,80.04,80.86,79.9,80.35,7124
2010. 9. 22,81.17,81.18,80.61,80.61,7784
2010. 9. 23,81.21,81.27,80.93,81.26,8258
2010. 9. 24,80.84,80.86,80.55,80.57,3586
2010. 9. 27,81.15,81.74,81.15,81.74,4261
2010. 9. 28,81.59,81.95,81.55,81.95,48301
2010. 9. 29,81.97,82.03,81.4,81.83,14269
2010. 9. 30,81.39,81.39,80.75,81.06,4096
2010. 10. 1,80.99,81.32,80.99,81.21,3828
2010. 10. 4,81.24,81.36,80.94,81.33,7046
2010. 10. 5,81.26,81.29,80.84,80.97,3481
2010. 10. 6,81.38,82.34,81.27,82.34,4727
2010. 10. 7,82.2,82.36,81.81,82.19,91792
2010. 10. 8,82.13,82.42,81.66,81.79,31554
2010. 10. 11,82.13,82.13,81.56,82.1,5231
2010. 10. 12,82.1,82.1,81.43,81.43,8698
2010. 10. 13,80.98,81.63,80.79,81.57,9939
2010. 10. 14,81.34,81.5,80.65,80.66,5972
2010. 10. 15,80.16,80.23,79.38,79.98,15744
2010. 10. 18,80.36,80.51,80.07,80.25,11380
2010. 10. 19,80.22,80.91,79.94,80.75,2230
2010. 10. 20,80.67,81.18,80.67,81,1872
2010. 10. 21,81.02,81.12,80.44,80.44,4067
2010. 10. 22,80.2,80.62,80.04,80.24,3165
2010. 10. 25,80.95,81.25,80.95,81.18,5014
2010. 10. 26,80.84,80.91,80.22,80.43,7798
2010. 10. 27,80.16,80.16,79.75,79.96,10953
2010. 10. 28,80.27,80.27,79.81,80.1,28632
2010. 10. 29,79.87,80.39,79.33,80.36,6532
2010. 11. 1,80.53,80.53,79.8,80.18,18965
2010. 11. 2,80.44,80.58,80.2,80.58,6677
2010. 11. 3,81.19,81.2,78.76,79.24,3148
2010. 11. 4,79.89,80.53,79.89,80.41,22161
2010. 11. 5,79.13,79.95,79.13,79.66,19635
2010. 11. 8,80.02,80.37,79.64,79.75,19566
2010. 11. 9,79.94,79.94,78.42,78.42,27920
2010. 11. 10,78.7,78.75,77.5,78.41,20324
2010. 11. 11,78.45,78.63,77.65,78.19,8262
2010. 11. 12,78.23,78.3,77.75,77.76,1851
2010. 11. 15,77.67,77.72,76.45,76.51,19481
2010. 11. 16,76.88,77.87,76.56,77.77,21406
2010. 11. 17,77.45,78.17,77.45,77.64,6491
2010. 11. 18,77.53,77.72,77.45,77.72,5367
2010. 11. 19,78.05,78.3,77.88,78.26,1982
2010. 11. 22,78.83,78.9,78.26,78.64,27200
2010. 11. 23,78.93,78.95,78.55,78.72,5469
2010. 11. 24,78.43,78.48,77.85,78.05,7152
2010. 11. 26,78.5,78.5,78.17,78.33,2257
2010. 11. 29,78.5,78.83,78.5,78.8,5590
2010. 11. 30,79.1,79.1,78.41,78.46,7758
2010. 12. 1,78.39,78.84,77.73,78.05,112140
2010. 12. 2,77.88,78.35,77.73,77.86,10005
2010. 12. 3,77.98,77.98,77.21,77.21,6779
2010. 12. 6,77.17,78.06,77.17,77.94,9739
2010. 12. 7,77.7,77.73,76.64,76.8,12941
2010. 12. 8,76.57,77.12,76,76.65,20948
2010. 12. 9,77.26,77.52,76.13,76.95,19722
2010. 12. 10,76.9,77.27,76.77,76.77,4447
2010. 12. 13,76.85,76.95,76.24,76.74,6566
2010. 12. 14,76,76.55,75.7,75.81,15292
2010. 12. 15,75.89,76.1,75,75.51,32371
2010. 12. 16,75.81,75.81,75.19,75.48,4199
2010. 12. 17,76.29,77.2,75.95,77.1,16641
2010. 12. 20,77.52,77.63,76.8,77.15,5969
2010. 12. 21,76.7,77.15,76.66,77.15,4998
2010. 12. 22,77.11,77.36,77.03,77.06,2513
2010. 12. 23,77.05,77.17,76.95,77.06,126482
2010. 12. 27,76.52,76.83,76.02,76.75,12857
2010. 12. 28,76.59,76.75,75.85,76.1,44399
2010. 12. 29,76.52,77.13,76.15,76.95,7425
2010. 12. 30,77.18,77.18,76.73,76.88,88766
2010. 12. 31,77.49,77.75,77.41,77.52,5776
2011. 1. 3,77.32,77.81,77.32,77.72,5157
2011. 1. 4,77.75,77.75,77.35,77.46,3533
2011. 1. 5,77.34,77.34,76.5,76.81,9311
2011. 1. 6,76.6,77.24,76.6,76.6,6154
