Date,Open,High,Low,Close,Volume
2010. 7. 23,31.96,32.4,31.89,32.39,2056714
2010. 7. 26,32.21,32.64,32.16,32.64,931823
2010. 7. 27,32.86,32.86,32.49,32.74,879665
2010. 7. 28,32.66,32.73,32.46,32.53,649343
2010. 7. 29,32.98,33.14,32.42,32.68,757193
2010. 7. 30,32.3,32.8,32.29,32.65,1200676
2010. 8. 2,33.34,33.76,33.27,33.72,922832
2010. 8. 3,33.55,33.75,33.39,33.66,1392579
2010. 8. 4,33.62,33.75,33.42,33.63,659718
2010. 8. 5,33.56,33.67,33.38,33.66,594471
2010. 8. 6,33.47,33.78,33.36,33.76,597391
2010. 8. 9,33.87,33.92,33.73,33.85,1076379
2010. 8. 10,33.25,33.72,33.06,33.61,951065
2010. 8. 11,32.51,32.51,32,32.04,1338042
2010. 8. 12,31.8,32.1,31.77,32.02,1082841
2010. 8. 13,32.02,32.19,31.88,31.89,530107
2010. 8. 16,31.91,32.29,31.84,32.13,499907
2010. 8. 17,32.53,32.69,32.34,32.51,965211
2010. 8. 18,32.57,32.73,32.38,32.53,970298
2010. 8. 19,32.52,32.61,31.82,32.1,2869079
2010. 8. 20,31.7,31.75,31.5,31.71,849897
2010. 8. 23,31.88,32.04,31.62,31.66,998381
2010. 8. 24,31.21,31.38,30.96,31.17,2530715
2010. 8. 25,30.9,31.28,30.76,31.18,1279679
2010. 8. 26,31.4,31.57,31.09,31.17,1274404
2010. 8. 27,31.58,31.87,31.14,31.81,1437338
2010. 8. 30,31.59,31.74,31.36,31.39,2082357
2010. 8. 31,31.33,31.67,31.23,31.48,1178653
2010. 9. 1,32.28,32.69,32.18,32.59,1428279
2010. 9. 2,32.54,32.77,32.48,32.76,697129
2010. 9. 3,32.99,33.19,32.84,33.07,1260433
2010. 9. 7,32.85,32.85,32.58,32.65,1114188
2010. 9. 8,32.81,33.08,32.81,32.88,1016469
2010. 9. 9,33.36,33.4,33,33.17,809162
2010. 9. 10,33.18,33.3,33.13,33.26,575318
2010. 9. 13,33.74,33.87,33.68,33.87,1711556
2010. 9. 14,33.72,34.2,33.63,34.08,677338
2010. 9. 15,33.82,34.12,33.71,34.12,760950
2010. 9. 16,33.85,33.98,33.74,33.93,1233109
2010. 9. 17,33.92,33.97,33.6,33.68,1866368
2010. 9. 20,33.91,34.37,33.82,34.32,798387
2010. 9. 21,34.35,34.59,34.02,34.32,3330742
2010. 9. 22,34.46,34.62,34.18,34.29,991226
2010. 9. 23,33.87,34.23,33.82,33.91,857080
2010. 9. 24,34.58,34.92,34.54,34.85,742323
2010. 9. 27,34.86,34.87,34.65,34.69,789929
2010. 9. 28,34.73,34.96,34.38,34.9,1111130
2010. 9. 29,34.86,34.99,34.7,34.83,856213
2010. 9. 30,35.03,35.1,34.37,34.52,1569181
2010. 10. 1,34.92,34.97,34.61,34.91,4292273
2010. 10. 4,34.64,34.74,34.28,34.45,1096200
2010. 10. 5,35.05,35.5,34.96,35.4,1450622
2010. 10. 6,35.59,35.71,35.48,35.56,700964
2010. 10. 7,35.96,35.96,35.4,35.6,878122
2010. 10. 8,35.67,35.88,35.53,35.82,1010412
2010. 10. 11,35.89,35.91,35.66,35.77,730186
2010. 10. 12,35.51,35.77,35.23,35.7,842442
2010. 10. 13,36,36.28,35.93,36.1,695791
2010. 10. 14,36.35,36.46,36.14,36.34,1231364
2010. 10. 15,36.45,36.48,35.98,36.28,1349349
2010. 10. 18,36.18,36.5,36.06,36.5,894054
2010. 10. 19,35.68,35.87,35.33,35.51,1187492
2010. 10. 20,35.75,36.3,35.69,36.2,850939
2010. 10. 21,36.25,36.44,35.77,36.01,892755
2010. 10. 22,36.15,36.2,35.98,36.09,646779
2010. 10. 25,36.46,36.58,36.21,36.23,662294
2010. 10. 26,35.84,36,35.73,35.97,778275
2010. 10. 27,35.63,35.74,35.3,35.62,675408
2010. 10. 28,35.99,36.01,35.73,35.91,595492
2010. 10. 29,35.87,35.98,35.75,35.92,583131
2010. 11. 1,35.94,36.09,35.55,35.77,1281943
