Date,Open,High,Low,Close,Volume
2010. 7. 23,55.64,56.33,55.43,56.26,1483170
2010. 7. 26,56.46,57.01,56.25,56.95,1348356
2010. 7. 27,57.37,57.38,56.69,56.88,2083199
2010. 7. 28,56.79,56.96,56.28,56.48,1486416
2010. 7. 29,56.88,56.97,55.68,56.19,1108092
2010. 7. 30,55.66,56.49,55.46,56.25,1539968
2010. 8. 2,57.16,57.55,56.86,57.46,1622956
2010. 8. 3,57.35,57.45,56.91,57.15,1360022
2010. 8. 4,57.36,57.62,57.14,57.6,1526997
2010. 8. 5,57.24,57.51,57.12,57.48,1022821
2010. 8. 6,56.91,57.32,56.49,57.27,3374421
2010. 8. 9,57.57,57.66,57.2,57.57,1773614
2010. 8. 10,56.99,57.49,56.7,57.21,2369060
2010. 8. 11,56.22,56.26,55.43,55.52,1947646
2010. 8. 12,54.71,55.38,54.54,55.21,2799988
2010. 8. 13,54.97,55.33,54.94,55,1879145
2010. 8. 16,54.55,55.16,54.41,54.95,1471111
2010. 8. 17,55.46,56.12,55.32,55.73,2374888
2010. 8. 18,55.64,56.14,55.37,55.86,1336702
2010. 8. 19,55.52,55.7,54.62,54.88,1871518
2010. 8. 20,54.66,54.74,54.23,54.69,1100684
2010. 8. 23,54.96,55.22,54.4,54.4,842605
2010. 8. 24,53.84,54.03,53.26,53.62,1474424
2010. 8. 25,53.22,54.03,52.98,53.79,2182310
2010. 8. 26,54.08,54.23,53.34,53.46,1522572
2010. 8. 27,53.83,54.42,53.02,54.38,1240125
2010. 8. 30,54.28,54.42,53.58,53.59,1814799
2010. 8. 31,53.34,53.9,53.13,53.6,1793959
2010. 9. 1,54.25,55.25,54.25,55.17,2835461
2010. 9. 2,55.29,55.78,55.21,55.75,1399735
2010. 9. 3,56.32,56.58,56.04,56.49,1956838
2010. 9. 7,56.28,56.31,55.79,55.88,1759390
2010. 9. 8,55.95,56.4,55.9,56.17,1155219
2010. 9. 9,56.78,56.9,56.28,56.45,1433252
2010. 9. 10,56.57,56.78,56.42,56.69,706720
2010. 9. 13,57.28,57.49,57.12,57.41,1167496
2010. 9. 14,57.3,57.72,57.09,57.4,1262847
2010. 9. 15,57.19,57.67,57.03,57.59,1513625
2010. 9. 16,57.42,57.62,57.25,57.57,1011429
2010. 9. 17,57.89,57.9,57.39,57.6,1563672
2010. 9. 20,57.85,58.65,57.67,58.55,1289778
2010. 9. 21,58.57,58.86,58.22,58.41,2983720
2010. 9. 22,58.27,58.64,57.91,58.1,4076233
2010. 9. 23,57.61,58.24,57.47,57.6,3749725
2010. 9. 24,57.98,58.55,57.92,58.52,2377665
2010. 9. 27,58.61,58.66,58.24,58.27,1903008
