Date,Open,High,Low,Close,Volume
2010. 7. 23,41.24,41.67,41.01,41.65,12109709
2010. 7. 26,41.58,41.94,41.42,41.91,9211271
2010. 7. 27,42.15,42.16,41.62,41.81,9774792
2010. 7. 28,41.61,41.81,41.44,41.61,9538612
2010. 7. 29,42.05,42.11,41.38,41.73,9199688
2010. 7. 30,41.42,42.01,41.3,41.87,10322635
2010. 8. 2,42.72,43.04,42.58,42.96,9660072
2010. 8. 3,42.63,42.88,42.42,42.75,16498472
2010. 8. 4,42.82,42.99,42.51,42.89,22460826
2010. 8. 5,42.59,42.76,42.43,42.74,11763440
2010. 8. 6,42.39,42.72,42.2,42.64,25053104
2010. 8. 9,42.96,42.97,42.77,42.88,5688917
2010. 8. 10,42.16,42.52,41.95,42.28,12525838
2010. 8. 11,41.44,41.44,40.93,41.03,11300371
2010. 8. 12,40.62,41.18,40.61,41.07,7448606
2010. 8. 13,41.25,41.46,41.14,41.31,15757002
2010. 8. 16,41.32,41.7,41.19,41.64,12465340
2010. 8. 17,42.1,42.3,41.89,42.1,5776858
2010. 8. 18,42.03,42.26,41.81,42.03,7579634
2010. 8. 19,42.11,42.18,41.49,41.73,11229725
2010. 8. 20,41.62,41.68,41.35,41.68,5181947
2010. 8. 23,41.83,41.88,41.28,41.31,18178948
2010. 8. 24,40.81,41.05,40.52,40.86,9225520
2010. 8. 25,40.46,40.78,40.06,40.68,14691188
2010. 8. 26,40.86,45,40.33,40.39,12749314
2010. 8. 27,40.84,41.24,40.35,41.21,7255566
2010. 8. 30,41.01,41.16,40.58,40.6,7002925
2010. 8. 31,40.61,41,40.5,40.8,13275560
2010. 9. 1,41.55,42.26,41.5,42.16,14080655
2010. 9. 2,41.97,42.26,41.91,42.18,9447115
2010. 9. 3,42.72,42.8,42.45,42.65,16200826
2010. 9. 7,42.39,42.4,42.04,42.07,9434111
2010. 9. 8,42.37,42.65,42.29,42.5,9419536
2010. 9. 9,42.94,42.95,42.58,42.71,13622576
2010. 9. 10,42.81,42.95,42.75,42.93,10025713
2010. 9. 13,43.69,43.86,43.62,43.83,10523256
2010. 9. 14,43.67,44.07,43.58,43.85,10812270
2010. 9. 15,43.64,43.92,43.56,43.88,9334666
2010. 9. 16,43.58,43.74,43.5,43.68,9589759
2010. 9. 17,43.87,43.9,43.57,43.66,7872167
2010. 9. 20,43.99,44.41,43.85,44.36,8068026
2010. 9. 21,44.39,44.5,44.05,44.33,10763183
2010. 9. 22,44.42,44.59,44.18,44.34,12252861
2010. 9. 23,44.07,44.47,43.97,44.1,10792731
2010. 9. 24,44.65,44.91,44.64,44.87,13481016
2010. 9. 27,44.85,44.97,44.72,44.78,14029875
2010. 9. 28,44.85,45.17,44.52,45.08,11866327
2010. 9. 29,45.17,45.4,45.06,45.24,20674990
2010. 9. 30,45.59,45.69,45.16,45.46,17898884
2010. 10. 1,46,46.25,45.85,46.17,24556052
2010. 10. 4,46.14,46.26,45.82,46.13,24180532
2010. 10. 5,46.36,46.92,46.3,46.81,19091038
2010. 10. 6,46.77,46.97,46.75,46.86,10497847
2010. 10. 7,46.96,46.98,46.23,46.45,18802752
2010. 10. 8,46.43,47.04,46.33,46.94,12629516
2010. 10. 11,46.9,46.99,46.76,46.92,9851748
2010. 10. 12,46.53,46.8,46.23,46.72,12793862
2010. 10. 13,47.28,47.69,47.23,47.46,21899520
2010. 10. 14,47.5,47.67,47.23,47.52,22199108
2010. 10. 15,47.65,47.69,47.1,47.42,24501944
2010. 10. 18,47.05,47.47,46.96,47.39,19618534
2010. 10. 19,46.34,46.64,45.77,45.93,16638200
2010. 10. 20,46.36,46.95,46.3,46.71,11648362
2010. 10. 21,47,47.23,46.23,46.66,17781400
2010. 10. 22,46.8,46.9,46.6,46.78,8542898
2010. 10. 25,47.35,47.58,47.21,47.29,11398375
2010. 10. 26,46.96,47.33,46.84,47.29,12222052
2010. 10. 27,46.6,46.61,46.09,46.51,15073943
2010. 10. 28,46.96,46.97,46.56,46.75,10048674
2010. 10. 29,46.68,46.91,46.62,46.87,13528013
2010. 11. 1,47.34,47.6,47.13,47.36,12394324
2010. 11. 2,47.75,47.94,47.66,47.92,13297349
2010. 11. 3,48.05,48.27,47.48,48.25,43025920
2010. 11. 4,48.93,49.33,48.89,49.32,18475996
2010. 11. 5,49.01,49.29,49,49.24,22568572
2010. 11. 8,48.84,49.01,48.69,49,13433936
2010. 11. 9,49.25,49.31,48.27,48.47,15788714
2010. 11. 10,48.69,48.83,48.13,48.73,17156408
2010. 11. 11,48.31,48.39,48.09,48.36,17749684
2010. 11. 12,47.69,47.88,46.99,47.22,22260512
2010. 11. 15,47.45,47.61,47.11,47.16,17930000
2010. 11. 16,46.66,46.69,45.78,45.9,20904716
2010. 11. 17,46.01,46.38,45.97,46.1,31660250
2010. 11. 18,47.05,47.32,46.99,47.15,14110093
2010. 11. 19,46.96,47.23,46.65,47.21,10441883
2010. 11. 22,47.01,47.27,46.53,47.11,14597275
2010. 11. 23,45.88,45.91,45.46,45.6,16453203
2010. 11. 24,46.33,46.65,46.28,46.61,25100856
2010. 11. 26,45.69,45.91,45.58,45.6,9156613
2010. 11. 29,45.65,45.92,45.2,45.86,20638144
2010. 11. 30,45.28,45.88,45.21,45.54,20764562
2010. 12. 1,46.68,46.95,46.54,46.91,16248074
2010. 12. 2,47.03,47.72,47,47.65,12437923
2010. 12. 3,47.3,47.91,47.26,47.81,18852026
2010. 12. 6,47.59,47.86,47.56,47.79,17386724
2010. 12. 7,48.3,48.33,47.54,47.57,16940432
2010. 12. 8,47.45,47.56,47,47.28,16284275
2010. 12. 9,47.43,47.44,46.97,47.17,19844366
2010. 12. 10,47.23,47.4,47.08,47.38,12982321
2010. 12. 13,47.69,47.88,47.56,47.63,12862804
2010. 12. 14,47.72,47.83,47.53,47.68,22410752
2010. 12. 15,47.42,47.52,46.93,46.98,25601512
2010. 12. 16,47.04,47.25,46.86,47.25,19989422
2010. 12. 17,47.08,47.26,46.98,47.21,20946576
2010. 12. 20,47.25,47.27,46.93,47.07,14435819
2010. 12. 21,47.61,47.88,47.59,47.68,20479356
2010. 12. 22,46.88,47.1,46.84,47.05,11354388
2010. 12. 23,46.87,47.03,46.87,46.98,10104571
2010. 12. 27,46.88,47,46.76,46.89,11203619
2010. 12. 28,47.02,47.03,46.82,46.93,6606249
2010. 12. 29,47.29,47.56,47.28,47.5,8565556
2010. 12. 30,47.81,47.88,47.66,47.84,6507734
2010. 12. 31,47.92,48.15,47.83,48.15,6466263
2011. 1. 3,48.56,48.8,48.55,48.62,19627076
2011. 1. 4,48.8,48.83,48.28,48.81,17722644
2011. 1. 5,48.37,48.76,48.35,48.63,19779262
2011. 1. 6,48.5,48.54,48.09,48.2,20625316
2011. 1. 7,47.99,48.08,47.39,47.75,16971328
2011. 1. 10,47.28,47.34,47,47.26,13385307
2011. 1. 11,47.8,47.86,47.59,47.79,12042626
2011. 1. 12,48.45,48.88,48.35,48.88,20144370
2011. 1. 13,48.59,48.62,48.19,48.33,17944932
2011. 1. 14,48.19,48.47,48.15,48.46,11803442
2011. 1. 18,48.4,48.48,48.29,48.45,10206069
2011. 1. 19,48.57,48.57,47.88,48.05,11856665
2011. 1. 20,47.71,47.73,47.15,47.63,11339706
2011. 1. 21,47.63,47.72,47.12,47.16,13123371
2011. 1. 24,47.16,47.52,47.12,47.48,10190106
2011. 1. 25,47.31,47.39,46.9,47.2,14081639
2011. 1. 26,47.67,47.79,47.51,47.64,15445566
2011. 1. 27,47.74,47.81,47.4,47.48,25311508
2011. 1. 28,47.29,47.3,45.88,46.01,28238172
2011. 1. 31,46.36,46.67,46.24,46.49,24582920
2011. 2. 1,46.95,47.58,46.87,47.49,24518120
2011. 2. 2,47.37,47.72,47.07,47.12,29050412
2011. 2. 3,47.24,47.3,46.83,47.08,25834608
2011. 2. 4,47.15,47.18,46.7,47.06,11580885
2011. 2. 7,46.93,47.23,46.86,46.93,30602838
2011. 2. 8,46.8,46.85,46.56,46.8,38073664
2011. 2. 9,46.26,46.26,45.6,45.89,48696360
2011. 2. 10,45.17,45.52,45,45.43,46761140
2011. 2. 11,45.11,45.97,45.09,45.93,38067020
2011. 2. 14,46.02,46.1,45.89,45.9,20657386
2011. 2. 15,45.93,46.15,45.8,45.99,17138952
2011. 2. 16,46.19,46.43,46.05,46.4,19851824
2011. 2. 17,46.3,46.68,46.21,46.61,18226592
2011. 2. 18,46.81,47,46.63,46.9,17423272
